0.0314159 0.517968 -0.0650785  2.38834 -0.0418452  0.506196 -0.0637019  0.344239 -0.0477799  -0.625855 -1.0641  0.50443 -0.100411  -0.622611 -1.07469  2.49737 -0.0988566  -0.302052 -0.126896  5.20099 -0.0504074  -0.301898 -0.126292  5.20602 -0.04748  
5.24646 0.0470038 -0.142457  2.74964 -0.840464  0.046121 -0.135967  0.601048 -1.10578  -0.002156 -0.152514  0.961019 -1.02804  -0.00157901 -0.152191  2.93651 -1.04257  -0.0463004 -0.13455  5.18449 -1.08089  -0.0452401 -0.134804  5.13528 -1.10285  
5.30929 0.0461387 -0.141477  2.75717 -0.837084  0.0453671 -0.135049  0.605451 -1.10213  -0.00210876 -0.151199  0.962601 -1.02425  -0.00154637 -0.150906  2.93827 -1.03766  -0.0455749 -0.133696  5.18379 -1.07652  -0.0445247 -0.13394  5.13445 -1.09864  
5.37212 0.0452959 -0.140503  2.76446 -0.833799  0.0446293 -0.134141  0.609848 -1.0985  -0.00206303 -0.149904  0.964152 -1.02049  -0.00151449 -0.149642  2.93999 -1.03275  -0.044866 -0.132849  5.18314 -1.07213  -0.0438261 -0.133082  5.13371 -1.09444  
5.43496 0.044475 -0.139535  2.77154 -0.830604  0.043907 -0.133242  0.614233 -1.0949  -0.0020188 -0.14863  0.965674 -1.01678  -0.00148331 -0.148399  2.94165 -1.02783  -0.0441734 -0.13201  5.18254 -1.0677  -0.0431437 -0.13223  5.13306 -1.09026  
5.49779 0.0436753 -0.138574  2.7784 -0.827492  0.0432 -0.132352  0.618604 -1.09133  -0.00197602 -0.147377  0.96717 -1.0131  -0.00145278 -0.147176  2.94327 -1.02292  -0.0434966 -0.131177  5.18199 -1.06325  -0.0424771 -0.131384  5.13249 -1.0861  
5.56062 0.0428962 -0.137619  2.78505 -0.824457  0.0425078 -0.131472  0.622958 -1.0878  -0.00193468 -0.146143  0.968641 -1.00945  -0.00142288 -0.145972  2.94484 -1.01802  -0.0428351 -0.130352  5.18149 -1.05878  -0.0418259 -0.130545  5.13202 -1.08195  
5.62345 0.0421374 -0.136671  2.79149 -0.821492  0.0418301 -0.130601  0.627291 -1.0843  -0.00189474 -0.144929  0.97009 -1.00584  -0.00139356 -0.144787  2.94637 -1.01311  -0.0421885 -0.129533  5.18104 -1.05427  -0.0411896 -0.129713  5.13162 -1.07781  
5.68628 0.0413981 -0.135731  2.79773 -0.818591  0.0411666 -0.129739  0.631602 -1.08083  -0.00185617 -0.143733  0.971518 -1.00224  -0.00136479 -0.143621  2.94785 -1.00822  -0.0415563 -0.128722  5.18063 -1.04974  -0.0405678 -0.128887  5.13129 -1.07368  
5.74911 0.0406778 -0.134797  2.80377 -0.815747  0.0405169 -0.128886  0.635887 -1.07741  -0.00181894 -0.142557  0.972927 -0.998675  -0.00133654 -0.142473  2.94928 -1.00333  -0.0409382 -0.127918  5.18026 -1.04519  -0.0399601 -0.128068  5.13104 -1.06956  
5.81195 0.039976 -0.133872  2.80962 -0.812954  0.0398806 -0.128041  0.640144 -1.07402  -0.00178301 -0.141398  0.974319 -0.995124  -0.00130879 -0.141342  2.95066 -0.998443  -0.0403338 -0.127122  5.17993 -1.04061  -0.039366 -0.127257  5.13086 -1.06545  
